"id","title","description","availability","condition","price","link","image_link","brand","google_product_category"
"FP21811RAM","Ramo de margaritas pompos x7 tallos","Ramo artificial de margaritas pomposas con diseño decorativo y gran volumen visual. Ideal para florerías, decoración de eventos, arreglos florales y manualidades.4 colores, rosado, morado, blanco, gruinda","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=FP21811RAM","https://dl.dropboxusercontent.com/scl/fi/rj9xfu4vq8yvu62p4ucpn/FP21811RAM.jpg?rlkey=bsrs43xylqcz9icqg4yaqxyxo&st=izyhjl50&raw=1","Wooly Imports","Home & Garden > Decor"
"GIR07C","Ramo de girasol premiun x7tallos","Ramo de grirasoles en 7 tallos ideal para presentes y buquets","in stock","new","17.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=GIR07C","https://dl.dropboxusercontent.com/scl/fi/81clmqrzwukv1h4ntqsna/GIR07C.jpg?rlkey=75n6pu9h7bi0t2hiw2te7038p&st=585r2o7k&raw=1","Wooly Imports","Home & Garden > Decor"
"7017G1321","Peluche león sentado con flor 30cm","león, regalo tierno, peluche bonito, decoración, detalle romántico","in stock","new","38.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=7017G1321","https://dl.dropboxusercontent.com/scl/fi/7mo9hxhtghmdqorzzv0kg/G1321.jpg?rlkey=h7ci7z7jenbu08wwvwapfp1is&st=kh9utj8c&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"Xkdfa9WJ6","Peluche Snoopy con girasol 25cm","Snoopy, girasol, regalo bonito, peluche tierno, detalle especial","in stock","new","25.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=Xkdfa9WJ6","https://dl.dropboxusercontent.com/scl/fi/2218ow99sp9i5lizcm0sp/Xkdfa9WJ6.jpg?rlkey=camlwnbx3xv9fvtbh1eeqvshg&st=g2fph24m&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"XHVzoHaSb","Peluche Snoopy con corazón 25cm","Snoopy, corazón, regalo romántico, San Valentín, detalle amor","in stock","new","15.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=XHVzoHaSb","https://dl.dropboxusercontent.com/scl/fi/11gckwo1bi9qf813xtz21/XHVzoHaSb.jpg?rlkey=ewnpzkaria2kij6xdiwbfw6s5&st=0ap1ane3&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"CER001","Peluche Cerdito con Vestido Overol mate 25cm","cerdito, vestido, kawaii, regalo bonito, rosado","in stock","new","25.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CER001","https://dl.dropboxusercontent.com/scl/fi/dj04szl82qze65xmgel4n/20260304_184032.jpg?rlkey=2brq7oixulzeoet7waq6ny6mg&st=oiidaqko&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"CER002","Peluche cerdito con moñito tornasol 25cm","cerdito, moño, tierno, kawaii, regalo especial","in stock","new","25.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CER002","https://dl.dropboxusercontent.com/scl/fi/a1eesj2p5llpxcxjxcsu3/20260304_181312.jpg?rlkey=nrr504zptvkbkgmr7rrjahznt&st=7evzjp4o&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"7017G701","Peluche pingüino con mochila verde/rosa 25cm","pingüino, mochila, regalo bonito, kawaii, decoración","in stock","new","15.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=7017G701","https://dl.dropboxusercontent.com/scl/fi/m5mrmrpa4bkbac5z370uc/G701.jpg?rlkey=usnlw17babzpuottctyg35ne5&st=vv923imv&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"7017GL667","Peluche pingüino Luck 19cm","pingüino Luck, peluche tierno, regalo bonito","in stock","new","14.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=7017GL667","https://dl.dropboxusercontent.com/scl/fi/ok20n1pxd2o4g8nooxj89/GL667.jpg?rlkey=ytodfav9fpz9eyyho4g2h5ep0&st=kf5026k3&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"ZlVzxn41t","Peluche vaquita Milk 18cm","vaquita, kawaii, regalo tierno, decoración","in stock","new","13.90 PEN","https://www.woolyimports.com/catalogo/producto.html?id=ZlVzxn41t","https://dl.dropboxusercontent.com/scl/fi/eu4zekiswtddm668z0dxy/ZIVzxb41t.jpg?rlkey=e9u9pwzwkhqgemqt9qi2ysy5v&st=l57q0riv&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
